row_id,item_kind,title_or_identifier,normalized_id,primary_url,all_urls,source_origin,source_files,link_type,notes,context_preview
1,paper,arxiv:1706.03762,arxiv:1706.03762,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
2,paper,arxiv:2309.02427,arxiv:2309.02427,https://arxiv.org/pdf/2309.02427,https://arxiv.org/pdf/2309.02427,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
3,paper,arxiv:2503.02636,arxiv:2503.02636,https://arxiv.org/pdf/2503.02636,https://arxiv.org/pdf/2503.02636,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
4,paper,arxiv:2506.10766,arxiv:2506.10766,https://arxiv.org/pdf/2506.10766,https://arxiv.org/pdf/2506.10766,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
5,paper,arxiv:2508.16792,arxiv:2508.16792,https://arxiv.org/pdf/2508.16792,https://arxiv.org/pdf/2508.16792,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
6,paper,arxiv:2510.13068,arxiv:2510.13068,https://arxiv.org/pdf/2510.13068v4,https://arxiv.org/pdf/2510.13068v4,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
7,paper,arxiv:2510.13768,arxiv:2510.13768,https://arxiv.org/pdf/2510.13768,https://arxiv.org/pdf/2510.13768,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
8,paper,arxiv:2512.04388,arxiv:2512.04388,https://arxiv.org/pdf/2512.04388,https://arxiv.org/pdf/2512.04388,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
9,paper,arxiv:2601.22197,arxiv:2601.22197,https://arxiv.org/pdf/2601.22197,https://arxiv.org/pdf/2601.22197,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
10,paper,arxiv:2602.23605,arxiv:2602.23605,https://arxiv.org/pdf/2602.23605,https://arxiv.org/pdf/2602.23605,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
11,paper,arxiv:2603.00190,arxiv:2603.00190,https://arxiv.org/pdf/2603.00190,https://arxiv.org/pdf/2603.00190,Manual search,comprehensive_paper_download_links_no_linkedin.csv,Direct PDF inferred from source URL,From earlier manual/source-dump paper-download list,arXiv paper/preprint
